Electrode,Coord_x,Coord_y,Coord_z,Label
14,64.1063911,0.21259,17.37195783,
15,65.07933012,9.458958548,21.9114324,
35,40.22396076,-28.65656469,59.98080838,
38,53.0510064,-26.492508,34.1337624,
53,3.81845,72.22689829,7.647270238,
63,-3.032000048,68.42729929,8.700200095,
